# StationNum Latitude Longitude Elevation
05100100 20.9000 70.3670  8.0
01160200 14.4500 79.9830 20.0
09021000 15.8500 74.6170 747.0
03050500 27.4830 95.0170 111.0
18103100 30.3330 76.4670 251.0
17010300 21.5170 86.9330 20.0
24140101 20.8500 88.2500 10.0
11291000 21.2170 81.6670 294.0
19191200 25.1500 75.8500 274.0
12190100 18.5330 73.8500 559.0
09090300 15.4170 75.6330 650.0
11020300 19.0830 82.0330 553.0
12230300 17.6670 75.9000 479.0
22030600 15.4830 73.8170 60.0
12021700 20.7000 77.0670 305.0
12041000 19.8500 75.4000 579.0
04102500 25.6000 85.1000 60.0
05150100 22.3000 70.7830 138.0
23351400 26.7500 80.8830 128.0
09010100 12.9670 77.5830 921.0
21010100 23.8830 91.2500 16.0
11060800 22.7670 81.9000 625.0
11150300 26.2330 78.2500 207.0
20130700 10.7670 78.7170 88.0
20020300 11.7670 79.7670 12.0
12070800 19.1170 72.8500 14.0
12201100 16.9830 73.3330 67.0
05010600 23.0670 72.6330 55.0
06031000 29.1670 75.7330 221.0
05171200 21.2000 72.8330 12.0
20040900 13.0000 80.1830 16.0
25010100 8.3000 73.0000  2.0
11351500 23.2830 77.3500 523.0
12141800 21.1000 79.0500 310.0
22021900 28.5830 77.2000 216.0
05120501 23.2500 69.6670 80.0
19180500 26.3000 73.0170 224.0
11170400 22.7170 75.8000 567.0
20031700 11.0330 77.0500 399.0
01120100 15.8000 78.0670 281.0
09130300 12.9170 74.8830 102.0
19070100 28.0000 73.3000 224.0
09070100 14.2330 76.4330 733.0
01080500 17.4500 78.4700 527.0
10050700 11.2500 75.7830  5.0
01111200 16.2000 81.1500  3.0
19131301 26.8170 75.8000 390.0
01020700 14.5830 77.6330 364.0
10100400 8.4830 76.9500 64.0
17111200 20.2500 85.8330 46.0
24141500 22.6500 88.4500  6.0
01050200 16.9500 82.2330  8.0
03041800 26.1000 91.5830 54.0
11180800 23.2000 79.9500 393.0
